bribe_title,name,transaction,amount,date,location,views
"Corrupt Branch manager, Indian Bank",,Loans,Paid INR 100000,02-Dec-19,"Bangalore
                      , Karnataka",5 views
Corruption at sub register office bommanahalli,,Land Registration,"Paid INR 25,000",02-Dec-19,"Bangalore
                      , Karnataka",3 views
Bribe asked for certificates,Education,College Leaving Certificate,Paid INR 100,01-Dec-19,"Muzaffarpur
                      , Bihar",22 views
Registration of flat,,,"Paid INR 11,000",01-Dec-19,"Bangalore
                      , Karnataka",42 views
Useless RTO people name PRASAD who is a helper there not even an officer,,Others,"Paid INR 10,000",30-Nov-19,"Chittoor
                      , Andhra Pradesh",68 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Corruption at sub register office bommanahalli,,Land Registration,"Paid INR 25,000",02-Dec-19,"Bangalore
                      , Karnataka",3 views
Bribe asked for certificates,Education,College Leaving Certificate,Paid INR 100,01-Dec-19,"Muzaffarpur
                      , Bihar",22 views
Registration of flat,,,"Paid INR 11,000",01-Dec-19,"Bangalore
                      , Karnataka",42 views
Useless RTO people name PRASAD who is a helper there not even an officer,,Others,"Paid INR 10,000",30-Nov-19,"Chittoor
                      , Andhra Pradesh",68 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
